,Technology,Dataset,Sample,Method,train_sample,test_sample,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure
111,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.21spatial,SEDR,Animal1_Bregma0.06,Animal1_Bregma0.21,0.47713030096791814,0.6018668681125273,0.5795604639180298,0.8140797994568624,0.6575826608157687,0.5549379719377989,0.6018668681125273
112,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.21spatial,STAGATE,Animal1_Bregma0.06,Animal1_Bregma0.21,0.17550463743829509,0.24934952168945151,0.3245151891590675,0.5542093168999374,0.2731295840987814,0.22940262651694363,0.24934952168945151
113,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.21spatial,SpaGCN,Animal1_Bregma0.06,Animal1_Bregma0.21,0.6118396196939571,0.6836010862196292,0.6921939677338971,0.849383747649885,0.7035232401352987,0.6647761601525393,0.6836010862196292
114,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.21spatial,SpaceFlow,Animal1_Bregma0.06,Animal1_Bregma0.21,0.16042264449809687,0.19866236632280482,0.30627397807361084,0.5417171506162524,0.22048230136415664,0.180782202614723,0.19866236632280482
115,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.21spatial,SpatialMGCN,Animal1_Bregma0.06,Animal1_Bregma0.21,0.566436886550597,0.6844416693396718,0.6584595685478837,0.8410277835805307,0.7146260792264059,0.6567037840750471,0.6844416693396718
116,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.21spatial,stLearn,Animal1_Bregma0.06,Animal1_Bregma0.21,0.6387554693500886,0.7196140809524119,0.7146683556679451,0.8868184666805933,0.7760054152441463,0.671020453764988,0.7196140809524119
117,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.26spatial,BASS,Animal1_Bregma0.06,Animal1_Bregma0.26,0.7205508402827169,0.7660442023404137,0.7806739938739212,0.9161837748344371,0.8147010254491669,0.7228717480573819,0.7660442023404136
118,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.26spatial,Banksy,Animal1_Bregma0.06,Animal1_Bregma0.26,0.6240605739395273,0.7096046257250458,0.7022990710799057,0.8735927152317882,0.7610151796520863,0.6647008558815811,0.7096046257250459
119,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.26spatial,CCST,Animal1_Bregma0.06,Animal1_Bregma0.26,0.12426079778283747,0.16487103566985764,0.37679807279932326,0.48567880794701984,0.13873980997029273,0.20317021938672847,0.1648710356698576
120,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.26spatial,CellCharter,Animal1_Bregma0.06,Animal1_Bregma0.26,0.40203125494343633,0.5565950741398418,0.5174481748705564,0.7905629139072847,0.620259893848278,0.5048253195121332,0.5565950741398418
121,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.26spatial,DeepST,Animal1_Bregma0.06,Animal1_Bregma0.26,0.4857215381983583,0.5265664713183048,0.6345386600478917,0.7607615894039735,0.4851096783268788,0.580416607118789,0.5265664713183046
122,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.26spatial,GraphST,Animal1_Bregma0.06,Animal1_Bregma0.26,0.1642018107605592,0.2190782308728833,0.3234605110165915,0.5457367549668874,0.2359815378803325,0.2044346226458404,0.2190782308728833
123,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.26spatial,PRECAST,Animal1_Bregma0.06,Animal1_Bregma0.26,0.718727240886117,0.7133439608918869,0.7800872461136139,0.8543046357615894,0.7316047555050744,0.6959725433673052,0.7133439608918869
124,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.26spatial,SEDR,Animal1_Bregma0.06,Animal1_Bregma0.26,0.44787360679621024,0.6048483312927367,0.5565186832797944,0.8170943708609272,0.6581151518099856,0.5595700037869819,0.6048483312927367
125,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.26spatial,STAGATE,Animal1_Bregma0.06,Animal1_Bregma0.26,0.1804050661823855,0.24919383140793236,0.33253156657539684,0.5635761589403974,0.2707370971503672,0.2309746562077113,0.24919383140793236
126,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.26spatial,SpaGCN,Animal1_Bregma0.06,Animal1_Bregma0.26,0.6287208585769414,0.700935191747462,0.7064591907915498,0.8739652317880795,0.7167376804129092,0.6858144913540103,0.7009351917474621
